;genre;filename;year;number;score;sentence1;sentence2;sentence1_pos;sentence2_pos;sentence1_pos_filtered;sentence2_pos_filtered;sentence1_filtered;sentence2_filtered;sentence1_str;sentence2_str;vectorial_components;vector1_liu_path;vector2_liu_path;vector1_liu_res;vector2_liu_res;vector1_liu_lin;vector2_liu_lin;vector1_liu_jcn;vector2_liu_jcn;liu_path;liu_res;liu_lin;liu_jcn;agirre_words;agirre_synsets
0;main-captions;MSRvid;2012test;0024;2.500;['a', 'girl', 'is', 'styling', 'her', 'hair'];['a', 'girl', 'is', 'brushing', 'her', 'hair'];[('a', 'DT'), ('girl', 'NN'), ('is', 'VBZ'), ('styling', 'VBG'), ('her', 'PRP$'), ('hair', 'NN')];[('a', 'DT'), ('girl', 'NN'), ('is', 'VBZ'), ('brushing', 'VBG'), ('her', 'PRP$'), ('hair', 'NN')];[('a', 'DT'), ('girl', 'NN'), ('is', 'VBZ'), ('styling', 'VBG'), ('her', 'PRP$'), ('hair', 'NN')];[('a', 'DT'), ('girl', 'NN'), ('is', 'VBZ'), ('brushing', 'VBG'), ('her', 'PRP$'), ('hair', 'NN')];['a', 'girl', 'is', 'styling', 'her', 'hair'];['a', 'girl', 'is', 'brushing', 'her', 'hair'];a girl is styling her hair;a girl is brushing her hair;['a', 'brushing', 'girl', 'hair', 'her', 'is', 'styling'];[1.0, 0.25, 1.0, 1.0, 0, 1.0, 1.0];[1.0, 1.0, 1.0, 1.0, 0, 1.0, 0.25];[3.7054287339455856, 0, 6.712862896293437, 9.078422788448872, 0, 4.1719655987060005, 8.88409463771456];[3.7054287339455856, 0, 6.712862896293437, 9.078422788448872, 0, 4.1719655987060005, 2.862114209299214];[1.0, 0, 1.0, 1.0, 0, 1.0, 1.0];[1.0, 0, 1.0, 1.0, 0, 1.0, 0.4386317428073624];[1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0];[1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0];0.8888888888888888;0.9245718733905;0.9694666415626129;0.8944271909999159;0.8333333333333334;0.6666666666666666
1;main-captions;MSRvid;2012test;0033;3.600;['a', 'group', 'of', 'men', 'play', 'soccer', 'on', 'the', 'beach'];['a', 'group', 'of', 'boys', 'are', 'playing', 'soccer', 'on', 'the', 'beach'];[('a', 'DT'), ('group', 'NN'), ('of', 'IN'), ('men', 'NNS'), ('play', 'VBP'), ('soccer', 'NN'), ('on', 'IN'), ('the', 'DT'), ('beach', 'NN')];[('a', 'DT'), ('group', 'NN'), ('of', 'IN'), ('boys', 'NNS'), ('are', 'VBP'), ('playing', 'VBG'), ('soccer', 'NN'), ('on', 'IN'), ('the', 'DT'), ('beach', 'NN')];[('a', 'DT'), ('group', 'NN'), ('of', 'IN'), ('men', 'NNS'), ('play', 'VBP'), ('soccer', 'NN'), ('on', 'IN'), ('the', 'DT'), ('beach', 'NN')];[('a', 'DT'), ('group', 'NN'), ('of', 'IN'), ('boys', 'NNS'), ('are', 'VBP'), ('playing', 'VBG'), ('soccer', 'NN'), ('on', 'IN'), ('the', 'DT'), ('beach', 'NN')];['a', 'group', 'of', 'men', 'play', 'soccer', 'on', 'the', 'beach'];['a', 'group', 'of', 'boys', 'are', 'playing', 'soccer', 'on', 'the', 'beach'];a group of men play soccer on the beach;a group of boys are playing soccer on the beach;['a', 'are', 'beach', 'boys', 'group', 'men', 'of', 'on', 'play', 'playing', 'soccer', 'the'];[1.0, 0.3333333333333333, 1.0, 0.5, 1.0, 1.0, 0, 1.0, 1.0, 1.0, 1.0, 0];[1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0, 1.0, 1.0, 1.0, 1.0, 0];[3.7054287339455856, 0, 0, 5.09056116643922, 0, 7.5532726925373606, 0, 0, 0, 0, 6.968209588102281, 0];[3.7054287339455856, 0, 0, 6.5039039799711835, 0, 5.09056116643922, 0, 0, 0, 0, 6.968209588102281, 0];[1.0, 0, 0, 0.8781019395302139, 0, 1.0, 0, 0, 0, 0, 1.0, 0];[1.0, 0, 0, 1.0, 0, 0.8781019395302139, 0, 0, 0, 0, 1.0, 0];[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0];[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0];0.9475800096308811;0.9721538553593082;0.9960596953478539;0.6666666666666667;0.7368421052631579;0.631578947368421
2;main-captions;MSRvid;2012test;0045;5.000;['one', 'woman', 'is', 'measuring', 'another', 'woman', 'ankle'];['a', 'woman', 'measures', 'another', 'woman', 'ankle'];[('one', 'CD'), ('woman', 'NN'), ('is', 'VBZ'), ('measuring', 'VBG'), ('another', 'DT'), ('woman', 'NN'), ('ankle', 'NN')];[('a', 'DT'), ('woman', 'NN'), ('measures', 'VBZ'), ('another', 'DT'), ('woman', 'NN'), ('ankle', 'NN')];[('one', 'CD'), ('woman', 'NN'), ('is', 'VBZ'), ('measuring', 'VBG'), ('another', 'DT'), ('woman', 'NN'), ('ankle', 'NN')];[('a', 'DT'), ('woman', 'NN'), ('measures', 'VBZ'), ('another', 'DT'), ('woman', 'NN'), ('ankle', 'NN')];['one', 'woman', 'is', 'measuring', 'another', 'woman', 'ankle'];['a', 'woman', 'measures', 'another', 'woman', 'ankle'];one woman is measuring another woman ankle;a woman measures another woman ankle;['a', 'ankle', 'another', 'is', 'measures', 'measuring', 'one', 'woman'];[0.1111111111111111, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];[1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 0.16666666666666666, 1.0];[0.5619555601560289, 8.267492572232543, 0, 4.1719655987060005, 0, 0, 0, 5.318677218466303];[3.7054287339455856, 8.267492572232543, 0, 0, 0, 0, 0, 5.318677218466303];[0.13605335035347932, 1.0, 0, 1.0, 0, 0, 0, 1.0];[1.0, 1.0, 0, 0, 0, 0, 0, 1.0];[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0];[1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0];0.8708156122207208;0.8787189922873704;0.7098312608040123;0.75;0.6153846153846154;1.0769230769230769
3;main-captions;MSRvid;2012test;0063;4.200;['a', 'man', 'is', 'cutting', 'up', 'a', 'cucumber'];['a', 'man', 'is', 'slicing', 'a', 'cucumber'];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('cutting', 'VBG'), ('up', 'RP'), ('a', 'DT'), ('cucumber', 'NN')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('slicing', 'VBG'), ('a', 'DT'), ('cucumber', 'NN')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('cutting', 'VBG'), ('up', 'RP'), ('a', 'DT'), ('cucumber', 'NN')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('slicing', 'VBG'), ('a', 'DT'), ('cucumber', 'NN')];['a', 'man', 'is', 'cutting', 'up', 'a', 'cucumber'];['a', 'man', 'is', 'slicing', 'a', 'cucumber'];a man is cutting up a cucumber;a man is slicing a cucumber;['a', 'cucumber', 'cutting', 'is', 'man', 'slicing', 'up'];[1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0];[1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 0.2];[3.7054287339455856, 8.960639752792488, 0, 4.1719655987060005, 0, 0, 0];[3.7054287339455856, 8.960639752792488, 0, 4.1719655987060005, 0, 0, 0];[1.0, 1.0, 0, 1.0, 0, 0, 0];[1.0, 1.0, 0, 1.0, 0, 0, 0];[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0];[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0];0.9043478260869566;1.0;1.0000000000000002;1.0000000000000002;0.7692307692307693;1.0769230769230769
4;main-captions;MSRvid;2012test;0066;1.500;['a', 'man', 'is', 'playing', 'a', 'harp'];['a', 'man', 'is', 'playing', 'a', 'keyboard'];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('a', 'DT'), ('harp', 'NN')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('a', 'DT'), ('keyboard', 'NN')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('a', 'DT'), ('harp', 'NN')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('a', 'DT'), ('keyboard', 'NN')];['a', 'man', 'is', 'playing', 'a', 'harp'];['a', 'man', 'is', 'playing', 'a', 'keyboard'];a man is playing a harp;a man is playing a keyboard;['a', 'harp', 'is', 'keyboard', 'man', 'playing'];[1.0, 1.0, 1.0, 0.25, 1.0, 1.0];[1.0, 0.5, 1.0, 1.0, 1.0, 1.0];[3.7054287339455856, 0, 4.1719655987060005, 0.5619555601560289, 0, 0];[3.7054287339455856, 0, 4.1719655987060005, 7.979810499780761, 0, 0];[1.0, 0, 1.0, 0.09618212326095868, 0, 0];[1.0, 0, 1.0, 1.0, 0, 0];[1.0, 0.0, 1.0, 0.0, 0.0, 0.0];[1.0, 0.0, 1.0, 1.0, 0.0, 0.0];0.9213644254408567;0.6522867268551772;0.853790442415532;0.816496580927726;0.8333333333333334;1.1666666666666667
5;main-captions;MSRvid;2012test;0074;1.800;['a', 'woman', 'is', 'cutting', 'onions'];['a', 'woman', 'is', 'cutting', 'tofu'];[('a', 'DT'), ('woman', 'NN'), ('is', 'VBZ'), ('cutting', 'VBG'), ('onions', 'NNS')];[('a', 'DT'), ('woman', 'NN'), ('is', 'VBZ'), ('cutting', 'VBG'), ('tofu', 'NN')];[('a', 'DT'), ('woman', 'NN'), ('is', 'VBZ'), ('cutting', 'VBG'), ('onions', 'NNS')];[('a', 'DT'), ('woman', 'NN'), ('is', 'VBZ'), ('cutting', 'VBG'), ('tofu', 'NN')];['a', 'woman', 'is', 'cutting', 'onions'];['a', 'woman', 'is', 'cutting', 'tofu'];a woman is cutting onions;a woman is cutting tofu;['a', 'cutting', 'is', 'onions', 'tofu', 'woman'];[1.0, 1.0, 1.0, 1.0, 0.125, 1.0];[1.0, 1.0, 1.0, 0.25, 1.0, 1.0];[3.7054287339455856, 0, 4.1719655987060005, 7.520278170402322, 3.437492858353808, 5.318677218466303];[3.7054287339455856, 0, 4.1719655987060005, 1.830711410118501, 7.420194711845339, 5.318677218466303];[1.0, 0, 1.0, 1.0, 0.6179416147064171, 1.0];[1.0, 0, 1.0, 0.32616412057033756, 1.0, 1.0];[1.0, 0.0, 1.0, 1.0, 0.0, 1.0];[1.0, 0.0, 1.0, 0.0, 1.0, 1.0];0.8682264456225851;0.8042962265744276;0.9298009300754075;0.75;0.8;0.8
6;main-captions;MSRvid;2012test;0076;3.500;['a', 'man', 'is', 'riding', 'an', 'electric', 'bicycle'];['a', 'man', 'is', 'riding', 'a', 'bicycle'];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('riding', 'VBG'), ('an', 'DT'), ('electric', 'JJ'), ('bicycle', 'NN')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('riding', 'VBG'), ('a', 'DT'), ('bicycle', 'NN')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('riding', 'VBG'), ('an', 'DT'), ('electric', 'JJ'), ('bicycle', 'NN')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('riding', 'VBG'), ('a', 'DT'), ('bicycle', 'NN')];['a', 'man', 'is', 'riding', 'an', 'electric', 'bicycle'];['a', 'man', 'is', 'riding', 'a', 'bicycle'];a man is riding an electric bicycle;a man is riding a bicycle;['a', 'an', 'bicycle', 'electric', 'is', 'man', 'riding'];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];[1.0, 0.1111111111111111, 1.0, 0.16666666666666666, 1.0, 1.0, 1.0];[3.7054287339455856, 4.947264253104055, 0, 0, 4.1719655987060005, 0, 0];[3.7054287339455856, 3.185406706921144, 0, 0, 4.1719655987060005, 0, 0];[1.0, 1.0, 0, 0, 1.0, 0, 0];[1.0, 0.7362809963762024, 0, 0, 1.0, 0, 0];[1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0];[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0];0.8885492260184576;0.9787240957433957;0.9908386125761658;0.816496580927726;0.7692307692307693;0.9230769230769231
7;main-captions;MSRvid;2012test;0082;2.200;['a', 'man', 'is', 'playing', 'the', 'drums'];['a', 'man', 'is', 'playing', 'the', 'guitar'];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('the', 'DT'), ('drums', 'NNS')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('the', 'DT'), ('guitar', 'NN')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('the', 'DT'), ('drums', 'NNS')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('the', 'DT'), ('guitar', 'NN')];['a', 'man', 'is', 'playing', 'the', 'drums'];['a', 'man', 'is', 'playing', 'the', 'guitar'];a man is playing the drums;a man is playing the guitar;['a', 'drums', 'guitar', 'is', 'man', 'playing', 'the'];[1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 0];[1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 0];[3.7054287339455856, 0, 0.5619555601560289, 4.1719655987060005, 0, 0, 0];[3.7054287339455856, 0, 5.537463464411557, 4.1719655987060005, 0, 0, 0];[1.0, 0, 0.12159734163207321, 1.0, 0, 0, 0];[1.0, 0, 1.0, 1.0, 0, 0, 0];[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0];[1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0];0.9136985548476936;0.7768129434609075;0.8629544692328591;0.816496580927726;0.8333333333333334;0.6666666666666666
8;main-captions;MSRvid;2012test;0092;2.200;['a', 'man', 'is', 'playing', 'guitar'];['a', 'lady', 'is', 'playing', 'the', 'guitar'];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('guitar', 'NN')];[('a', 'DT'), ('lady', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('the', 'DT'), ('guitar', 'NN')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('guitar', 'NN')];[('a', 'DT'), ('lady', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('the', 'DT'), ('guitar', 'NN')];['a', 'man', 'is', 'playing', 'guitar'];['a', 'lady', 'is', 'playing', 'the', 'guitar'];a man is playing guitar;a lady is playing the guitar;['a', 'guitar', 'is', 'lady', 'man', 'playing', 'the'];[1.0, 1.0, 1.0, 0.25, 1.0, 1.0, 0];[1.0, 1.0, 1.0, 1.0, 0.25, 1.0, 0];[3.7054287339455856, 5.537463464411557, 4.1719655987060005, 1.210087885411401, 0, 0, 0];[3.7054287339455856, 5.537463464411557, 4.1719655987060005, 8.267492572232543, 0, 0, 0];[1.0, 1.0, 1.0, 0.17531209548213322, 0, 0, 0];[1.0, 1.0, 1.0, 1.0, 0, 0, 0];[1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0];[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0];0.8888888888888888;0.7913091564319202;0.9119740647930115;0.8660254037844387;0.7272727272727273;0.7272727272727273
9;main-captions;MSRvid;2012test;0095;1.714;['a', 'man', 'is', 'playing', 'a', 'guitar'];['a', 'man', 'is', 'playing', 'a', 'trumpet'];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('a', 'DT'), ('guitar', 'NN')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('a', 'DT'), ('trumpet', 'NN')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('a', 'DT'), ('guitar', 'NN')];[('a', 'DT'), ('man', 'NN'), ('is', 'VBZ'), ('playing', 'VBG'), ('a', 'DT'), ('trumpet', 'NN')];['a', 'man', 'is', 'playing', 'a', 'guitar'];['a', 'man', 'is', 'playing', 'a', 'trumpet'];a man is playing a guitar;a man is playing a trumpet;['a', 'guitar', 'is', 'man', 'playing', 'trumpet'];[1.0, 1.0, 1.0, 1.0, 1.0, 0.5];[1.0, 0.16666666666666666, 1.0, 1.0, 1.0, 1.0];[3.7054287339455856, 5.537463464411557, 4.1719655987060005, 0, 0, 0];[3.7054287339455856, 0.5619555601560289, 4.1719655987060005, 0, 0, 0];[1.0, 1.0, 1.0, 0, 0, 0];[1.0, 0.12159734163207321, 1.0, 0, 0, 0];[1.0, 1.0, 1.0, 0.0, 0.0, 0.0];[1.0, 0.0, 1.0, 0.0, 0.0, 0.0];0.908320450345391;0.7768129434609073;0.8629544692328591;0.816496580927726;0.8333333333333334;1.1666666666666667
